,id,ds,target
0,0,2017-07-01,834.9335884082923
1,0,2017-07-02,937.6681627498624
2,0,2017-07-03,892.1866056692021
3,0,2017-07-04,668.6702979125752
4,0,2017-07-05,0.0
5,0,2017-07-06,960.5969355067442
6,0,2017-07-07,893.8254061451028
7,0,2017-07-08,716.9744431567631
8,0,2017-07-09,766.1898981592624
9,0,2017-07-10,685.6664783538764
10,0,2017-07-11,449.4259529864634
11,0,2017-07-12,0.0
12,0,2017-07-13,790.8563722504297
13,0,2017-07-14,783.1139119408548
14,0,2017-07-15,679.1664526557084
15,0,2017-07-16,803.3110917962649
16,0,2017-07-17,785.7138294434557
17,0,2017-07-18,587.2064212966186
18,0,2017-07-19,0.0
19,0,2017-07-20,900.0118862785298
20,0,2017-07-21,830.6581699141097
21,0,2017-07-22,649.6802114756396
22,0,2017-07-23,699.6632408011822
23,0,2017-07-24,629.0311967665962
24,0,2017-07-25,412.3041853115266
25,0,2017-07-26,0.0
26,0,2017-07-27,806.6259420333859
27,0,2017-07-28,821.5750378866435
28,0,2017-07-29,733.0649490704968
29,0,2017-07-30,865.8567837522388
30,0,2017-07-31,853.692119431556
0,1,2017-07-01,549.352480432521
1,1,2017-07-02,585.9711378267655
2,1,2017-07-03,614.2002051140622
3,1,2017-07-04,455.8538775980109
4,1,2017-07-05,0.0
5,1,2017-07-06,639.8576840793348
6,1,2017-07-07,555.2800121033799
7,1,2017-07-08,476.81661454691647
8,1,2017-07-09,473.200121179495
9,1,2017-07-10,473.00144249171797
10,1,2017-07-11,303.17208353902475
11,1,2017-07-12,0.0
12,1,2017-07-13,524.5447070808942
13,1,2017-07-14,486.03248213051216
14,1,2017-07-15,463.2847000275599
15,1,2017-07-16,514.8680778605168
16,1,2017-07-17,558.587253841922
17,1,2017-07-18,412.5385125454695
18,1,2017-07-19,0.0
19,1,2017-07-20,606.4273776363988
20,1,2017-07-21,524.0301812921495
21,1,2017-07-22,449.7743295337626
22,1,2017-07-23,454.2625807761161
23,1,2017-07-24,466.14663277995294
24,1,2017-07-25,310.6345921977129
25,1,2017-07-26,0.0
26,1,2017-07-27,553.4540778499286
27,1,2017-07-28,518.6360970485916
28,1,2017-07-29,495.2426671508335
29,1,2017-07-30,544.6742328282014
30,1,2017-07-31,588.640472831546
0,2,2017-07-01,679.7559118467531
1,2,2017-07-02,696.0237108595637
2,2,2017-07-03,729.3433387199713
3,2,2017-07-04,624.3271925207457
4,2,2017-07-05,0.0
5,2,2017-07-06,766.3851008768183
6,2,2017-07-07,687.0898598356491
7,2,2017-07-08,616.5310927938506
8,2,2017-07-09,581.965213980585
9,2,2017-07-10,582.3264118806518
10,2,2017-07-11,466.30386363624694
11,2,2017-07-12,0.0
12,2,2017-07-13,652.343632431261
13,2,2017-07-14,618.5301290562941
14,2,2017-07-15,599.0582218250194
15,2,2017-07-16,612.3675299466976
16,2,2017-07-17,649.3478754378077
17,2,2017-07-18,552.6002356232826
18,2,2017-07-19,0.0
19,2,2017-07-20,718.7580387953759
20,2,2017-07-21,650.3880163220438
21,2,2017-07-22,588.380229114666
22,2,2017-07-23,559.5475410194343
23,2,2017-07-24,563.1269311339846
24,2,2017-07-25,448.4239908461462
25,2,2017-07-26,0.0
26,2,2017-07-27,639.6395573336423
27,2,2017-07-28,611.8902199904422
28,2,2017-07-29,602.4719887813379
29,2,2017-07-30,630.0271946618346
30,2,2017-07-31,684.7018765337691
0,3,2017-07-01,554.3466787192434
1,3,2017-07-02,568.0841930400344
2,3,2017-07-03,644.0176697809784
3,3,2017-07-04,383.24861036561526
4,3,2017-07-05,0.0
5,3,2017-07-06,627.7493696030958
6,3,2017-07-07,528.0040470264739
7,3,2017-07-08,454.579410204589
8,3,2017-07-09,416.3475529134883
9,3,2017-07-10,460.00407495879864
10,3,2017-07-11,190.56472019926343
11,3,2017-07-12,0.0
12,3,2017-07-13,490.1535715431841
13,3,2017-07-14,446.6889581237113
14,3,2017-07-15,438.2555762584144
15,3,2017-07-16,462.9656478212661
16,3,2017-07-17,556.3576401683097
17,3,2017-07-18,314.0785688078745
18,3,2017-07-19,0.0
19,3,2017-07-20,583.9870381643374
20,3,2017-07-21,489.60494143053495
21,3,2017-07-22,418.9909419088939
22,3,2017-07-23,383.8323097566197
23,3,2017-07-24,433.0680667139687
24,3,2017-07-25,172.60202692297378
25,3,2017-07-26,0.0
26,3,2017-07-27,497.0062303878307
27,3,2017-07-28,466.223064881679
28,3,2017-07-29,469.27226383998743
29,3,2017-07-30,504.6029350537903
30,3,2017-07-31,609.0483662740459
0,4,2017-07-01,355.8609451347489
1,4,2017-07-02,352.7899025349434
2,4,2017-07-03,351.3533563414083
3,4,2017-07-04,382.4303612433561
4,4,2017-07-05,0.0
5,4,2017-07-06,368.0856594913132
6,4,2017-07-07,311.8317186064711
7,4,2017-07-08,299.2090908633697
8,4,2017-07-09,280.2431681703689
9,4,2017-07-10,273.0496915768918
10,4,2017-07-11,308.96951071759906
11,4,2017-07-12,0.0
12,4,2017-07-13,329.6051081109306
13,4,2017-07-14,296.9922716831435
14,4,2017-07-15,306.73215001149737
15,4,2017-07-16,305.04754949973096
16,4,2017-07-17,307.2156661734409
17,4,2017-07-18,343.1756479859398
18,4,2017-07-19,0.0
19,4,2017-07-20,338.58739188763303
20,4,2017-07-21,285.734700006635
21,4,2017-07-22,275.08680072989586
22,4,2017-07-23,256.81577324514933
23,4,2017-07-24,249.52708239083213
24,4,2017-07-25,285.2867468959968
25,4,2017-07-26,0.0
26,4,2017-07-27,308.55978001401314
27,4,2017-07-28,279.9536075650901
28,4,2017-07-29,295.7812016785789
29,4,2017-07-30,301.9813092858258
30,4,2017-07-31,313.1518094984959
0,5,2017-07-01,519.3681160511915
1,5,2017-07-02,542.064620981848
2,5,2017-07-03,579.4566436526424
3,5,2017-07-04,578.6723689934208
4,5,2017-07-05,0.0
5,5,2017-07-06,605.7859591372719
6,5,2017-07-07,502.0334351587142
7,5,2017-07-08,450.7216686056116
8,5,2017-07-09,432.73822789451197
9,5,2017-07-10,441.01988302080383
10,5,2017-07-11,427.28986528794877
11,5,2017-07-12,0.0
12,5,2017-07-13,488.40118496121465
13,5,2017-07-14,429.45054756895297
14,5,2017-07-15,433.8795511766676
15,5,2017-07-16,472.48620388712425
16,5,2017-07-17,526.8610992111608
17,5,2017-07-18,538.7076376689338
18,5,2017-07-19,0.0
19,5,2017-07-20,571.8194143720091
20,5,2017-07-21,465.1898744690183
21,5,2017-07-22,412.81746821009375
22,5,2017-07-23,398.85914444294485
23,5,2017-07-24,417.29161742436736
24,5,2017-07-25,418.145944203838
25,5,2017-07-26,0.0
26,5,2017-07-27,508.132567386991
27,5,2017-07-28,456.83941248054526
28,5,2017-07-29,463.8801174854227
29,5,2017-07-30,502.43736085387826
30,5,2017-07-31,558.0579615567193
0,6,2017-07-01,765.2641676480781
