id,dt,target
0,2016-01-02,747.8
0,2016-01-03,681.2
0,2016-01-04,505.8
0,2016-01-06,1078.3
0,2016-01-07,961.9
0,2016-01-08,778.5
0,2016-01-09,805.9
0,2016-01-10,793.4
0,2016-01-11,520.7
0,2016-01-13,551.9
0,2016-01-14,619.7
0,2016-01-15,545.2
0,2016-01-16,601.3
0,2016-01-17,593.0
0,2016-01-18,491.2
0,2016-01-20,927.9
0,2016-01-21,938.6
0,2016-01-22,761.7
0,2016-01-23,800.5
0,2016-01-24,760.1
0,2016-01-25,464.5
0,2016-01-27,616.0
0,2016-01-28,679.5
0,2016-01-29,561.7
0,2016-01-30,732.6
0,2016-01-31,817.8
0,2016-02-01,549.9
0,2016-02-03,1139.1
0,2016-02-04,977.8
0,2016-02-05,842.9
0,2016-02-06,899.5
0,2016-02-07,809.6
0,2016-02-08,544.8
0,2016-02-10,694.5
0,2016-02-11,688.2
0,2016-02-12,582.9
0,2016-02-13,677.3
0,2016-02-14,639.3
0,2016-02-15,508.5
0,2016-02-17,989.0
0,2016-02-18,938.0
0,2016-02-19,753.3
0,2016-02-20,851.4
0,2016-02-21,741.2
0,2016-02-22,566.8
0,2016-02-24,631.8
0,2016-02-25,638.7
0,2016-02-26,653.7
0,2016-02-27,789.0
0,2016-02-28,833.0
0,2016-03-01,564.2
0,2016-03-03,1161.1
0,2016-03-04,1007.0
0,2016-03-05,804.5
0,2016-03-06,887.1
0,2016-03-07,811.7
0,2016-03-08,536.4
0,2016-03-10,657.0
0,2016-03-11,628.2
0,2016-03-12,563.7
0,2016-03-13,619.2
0,2016-03-14,597.7
0,2016-03-15,483.4
0,2016-03-17,968.2
0,2016-03-18,855.2
0,2016-03-19,677.4
0,2016-03-20,803.9
0,2016-03-21,709.7
0,2016-03-22,517.9
0,2016-03-24,664.5
0,2016-03-25,696.2
0,2016-03-26,583.7
0,2016-03-27,726.9
0,2016-03-28,693.7
0,2016-03-29,554.4
0,2016-03-31,1108.1
0,2016-04-01,1019.7
0,2016-04-02,855.6
0,2016-04-03,863.7
0,2016-04-04,868.9
0,2016-04-05,572.3
0,2016-04-07,768.9
0,2016-04-08,693.3
0,2016-04-09,609.1
0,2016-04-10,696.4
0,2016-04-11,701.9
0,2016-04-12,543.1
0,2016-04-14,1152.4
0,2016-04-15,1264.9
0,2016-04-16,955.1
0,2016-04-17,1130.1
0,2016-04-19,685.5
0,2016-04-22,725.0
0,2016-04-23,607.2
0,2016-04-24,702.3
0,2016-04-25,596.3
0,2016-04-26,454.0
0,2016-04-28,1002.7
0,2016-04-29,1025.4
0,2016-04-30,872.6
0,2016-05-02,1132.7
0,2016-05-03,543.9
0,2016-05-05,1035.2
